temp_max,temp_min,temp_mean,rh_max,rh_min,rh_mean,ws_max,ws_gust_max,ws_mean,precip,rain,et0,station,lat,lon,date
2.3,-8.5,-4.2,92,31,53,1.81,5.8,1.23,0.0,0.0,0.93,춘천,37.9026,127.7358,2022-01-01
3.7,-5.5,-1.5,91,26,58,3.22,8.6,2.1,0.2,0.0,1.13,춘천,37.9026,127.7358,2022-01-02
1.5,-6.6,-2.9,84,33,66,3.41,9.0,1.79,0.0,0.0,0.94,춘천,37.9026,127.7358,2022-01-03
1.9,-5.1,-2.1,79,23,54,2.93,7.4,1.54,0.0,0.0,1.05,춘천,37.9026,127.7358,2022-01-04
4.5,-6.0,-1.5,95,37,67,1.92,4.9,1.19,0.0,0.0,0.84,춘천,37.9026,127.7358,2022-01-05
4.3,-4.9,-1.6,99,20,69,1.75,5.3,0.94,0.0,0.0,0.9,춘천,37.9026,127.7358,2022-01-06
4.2,-6.2,-1.9,100,18,67,2.56,6.0,1.11,0.0,0.0,1.07,춘천,37.9026,127.7358,2022-01-07
5.1,-5.0,-0.6,99,47,80,4.68,11.2,1.96,0.4,0.0,0.86,춘천,37.9026,127.7358,2022-01-08
5.2,-2.1,1.0,98,54,81,2.06,5.3,1.17,0.1,0.0,0.98,춘천,37.9026,127.7358,2022-01-09
5.6,-3.6,-0.0,100,36,76,2.92,7.2,1.23,0.5,0.0,0.94,춘천,37.9026,127.7358,2022-01-10
-0.3,-9.2,-5.6,77,33,51,3.96,10.1,2.48,0.0,0.0,0.96,춘천,37.9026,127.7358,2022-01-11
-2.2,-9.3,-6.6,46,21,35,3.61,9.4,2.12,0.0,0.0,1.16,춘천,37.9026,127.7358,2022-01-12
-4.1,-8.5,-6.6,46,26,38,5.32,13.5,2.68,0.0,0.0,1.08,춘천,37.9026,127.7358,2022-01-13
1.0,-9.3,-5.5,77,17,43,2.4,6.7,1.51,0.0,0.0,1.05,춘천,37.9026,127.7358,2022-01-14
3.0,-6.0,-1.6,77,39,58,2.46,6.5,1.31,0.0,0.0,0.79,춘천,37.9026,127.7358,2022-01-15
1.2,-6.4,-1.8,86,33,58,3.86,10.2,2.52,0.0,0.0,1.15,춘천,37.9026,127.7358,2022-01-16
-0.7,-7.3,-4.9,58,19,44,4.6,12.2,2.6,0.1,0.0,1.16,춘천,37.9026,127.7358,2022-01-17
0.6,-8.4,-4.9,56,14,35,2.22,6.7,1.24,0.0,0.0,1.14,춘천,37.9026,127.7358,2022-01-18
-0.7,-6.6,-4.1,70,33,53,3.04,7.3,1.61,1.5,0.0,0.58,춘천,37.9026,127.7358,2022-01-19
2.5,-7.7,-4.0,89,22,57,2.16,5.9,1.45,0.0,0.0,1.13,춘천,37.9026,127.7358,2022-01-20
3.4,-8.2,-3.2,97,21,63,1.61,4.5,0.92,0.0,0.0,1.09,춘천,37.9026,127.7358,2022-01-21
4.3,-5.5,-1.5,93,48,73,2.21,5.2,1.25,0.0,0.0,0.63,춘천,37.9026,127.7358,2022-01-22
9.1,-3.6,1.8,95,36,70,4.3,10.9,1.42,0.3,0.0,1.33,춘천,37.9026,127.7358,2022-01-23
7.3,-1.3,2.0,88,44,71,3.31,8.5,2.3,0.0,0.0,1.2,춘천,37.9026,127.7358,2022-01-24
5.0,0.5,1.8,94,72,85,2.62,6.4,1.23,1.6,0.6,0.42,춘천,37.9026,127.7358,2022-01-25
