feature,importance
elevation_m,825
facility_density_1000m,677
facility_density_500m,559
nearest_facility_dist_m,330
elec_fire_count_3000m,139
fire_count_3000m,135
dryness_score,129
elec_fire_count_1000m,119
weather_hazard,87
landcover_class,80
wind_score,77
temp_max_3d,69
heat_score,67
no_rain_score,60
eff_humidity,43
elec_x_forest,39
precip_sum_7d,37
ws_max_1d,34
rh_min_3d,33
dry_wind_interaction,32
hot_dry_interaction,28
eff_humidity_score,19
fire_count_5000m,16
dry_x_forest,15
no_rain_days,13
is_near_forest,11
is_spring,10
risk_season,10
month,6
dry_watch_flag,6
dry_warn_flag,3
season,2
combined_risk_flag,0
wind_warn_flag,0
wind_watch_flag,0
is_autumn,0
