feature,mean_abs_shap
elec_fire_count_1000m,6.39250304635973
fire_count_3000m,0.9515319033726335
facility_density_1000m,0.2552951539949186
elevation_m,0.2415954495070984
facility_density_500m,0.10593240657994064
elec_fire_count_3000m,0.034041597309802635
elec_x_forest,0.009643312578848262
nearest_facility_dist_m,0.005450603605290449
wind_score,0.005230483376857955
risk_season,0.0051423086863644375
fire_count_5000m,0.004789311166173606
dry_wind_interaction,0.00455053419646484
dryness_score,0.0037905385806727156
dry_x_forest,0.003599403121729381
heat_score,0.003276900233207663
temp_max_3d,0.0026201338317137874
no_rain_score,0.0025161994895962344
landcover_class,0.0015130023925024687
weather_hazard,0.0010098417413467427
precip_sum_7d,0.0009685171574343264
ws_max_1d,0.0009549686307235561
no_rain_days,0.0008197038871671246
is_spring,0.0006188308247020015
eff_humidity,0.0005488450729026963
hot_dry_interaction,0.00019395224959080514
dry_watch_flag,8.324737042634851e-05
eff_humidity_score,5.913923619809013e-05
rh_min_3d,2.7859965240674578e-05
dry_warn_flag,1.6809415616572294e-05
month,1.4965655166556303e-05
is_near_forest,4.697376166469667e-06
season,3.2404516180986338e-06
wind_warn_flag,0.0
combined_risk_flag,0.0
is_autumn,0.0
wind_watch_flag,0.0
