feature,mean_abs_shap
elevation_m,24123929.995539904
facility_density_1000m,22807132.33915162
heat_score,3747334.1401085854
facility_density_500m,3562784.21025753
dry_wind_interaction,2813625.940138817
eff_humidity_score,2468560.5944252014
month,2190561.317194462
wind_score,2067812.9123950005
precip_sum_7d,1983170.077203989
ws_max_1d,1935713.7327942848
weather_hazard,1864367.8853735924
dryness_score,1796601.0466384888
temp_max_3d,1677931.9726769924
eff_humidity,1240767.9359221458
no_rain_score,1178091.396428585
hot_dry_interaction,1116311.186537981
rh_min_3d,858702.314031601
nearest_facility_dist_m,321010.2785644531
dry_x_forest,99532.52166748047
dry_warn_flag,70632.29048919678
is_spring,70605.69587993622
risk_season,61500.18657159805
season,61084.3203291893
dry_watch_flag,20807.865026950836
is_near_forest,3863.3904247283936
no_rain_days,0.0
wind_watch_flag,0.0
wind_warn_flag,0.0
is_autumn,0.0
combined_risk_flag,0.0
