feature,mean_abs_shap
facility_density_1000m,22728391.491589308
elevation_m,22348815.858086824
accumulated_risk_norm,4281693.779720545
heat_score,3318536.5741968155
eff_humidity_score,2709402.016708851
dry_wind_interaction,1903721.1042046547
facility_density_500m,1850454.430022478
fwi_bui,1738385.379623413
rh_min_3d,1703006.0681989193
precip_sum_7d,1459590.3347201347
month,1432485.0789785385
temp_max_3d,1422406.1752824783
neighbor_300m,1405331.8169457912
weather_hazard,1137418.9462792873
dryness_score,1049303.1828904152
fwi_isi,986373.2217803001
neighbor_100m,816776.4400875568
no_rain_score,809980.2750563622
wind_score,772378.7348980904
fwi_score,678644.7883031368
risk_season,653913.1104106903
eff_humidity,609715.9405879974
terrain_fire_risk,600311.2196497917
hot_dry_interaction,585561.4151928425
ws_max_1d,460338.6306672096
fwi_dry_streak,281413.39159822464
nearest_facility_dist_m,186238.1887869835
is_spring,58500.02178764343
dry_warn_flag,40688.099148750305
dry_watch_flag,24951.516122817993
dry_x_forest,24223.84916162491
season,22974.848326683044
is_near_forest,61.688599586486816
is_autumn,0.0
no_rain_days,0.0
combined_risk_flag,0.0
wind_warn_flag,0.0
wind_watch_flag,0.0
cascade_risk,0.0
